"Date","Time","Open","High","Low","Close","Up","Down"
10/21/2016,09:00,29.21,29.23,29.08,29.21,6082520,13038480
10/21/2016,09:30,29.21,29.21,29.10,29.15,3512220,3909516
10/21/2016,10:00,29.15,29.18,29.13,29.17,2398120,2378292
10/21/2016,10:30,29.16,29.19,29.13,29.16,2261744,2296184
10/21/2016,11:00,29.15,29.22,29.14,29.18,2125016,1845792
10/21/2016,11:30,29.19,29.20,29.13,29.13,1655412,1963084
10/21/2016,12:00,29.13,29.14,29.12,29.13,1331732,1539412
10/21/2016,12:30,29.13,29.16,29.13,29.14,1294092,1626584
10/21/2016,13:00,29.14,29.19,29.12,29.15,1630232,1579884
10/21/2016,13:30,29.15,29.18,29.14,29.18,1540524,1301184
10/21/2016,14:00,29.18,29.18,29.14,29.16,1752684,1536328
10/21/2016,14:30,29.16,29.16,29.12,29.12,2377752,2693224
10/21/2016,15:00,29.12,29.15,29.07,29.13,6071320,6322620
10/24/2016,09:00,29.28,29.40,29.25,29.36,8465760,6374748
10/24/2016,09:30,29.36,29.37,29.28,29.28,3897264,4128212
10/24/2016,10:00,29.29,29.35,29.27,29.34,3337128,3041024
10/24/2016,10:30,29.34,29.37,29.33,29.34,2668708,2213176
10/24/2016,11:00,29.34,29.38,29.34,29.34,2125720,2194832
10/24/2016,11:30,29.34,29.35,29.32,29.33,1703000,1755148
10/24/2016,12:00,29.33,29.33,29.30,29.32,1569616,1433224
10/24/2016,12:30,29.32,29.38,29.32,29.37,2462748,1668040
10/24/2016,13:00,29.37,29.41,29.37,29.40,2740376,1962452
10/24/2016,13:30,29.40,29.44,29.37,29.39,2352512,2298716
10/24/2016,14:00,29.39,29.41,29.33,29.36,2128108,2191016
10/24/2016,14:30,29.36,29.39,29.34,29.35,2206888,2140704
10/24/2016,15:00,29.35,29.42,29.34,29.40,4816900,4877956
10/25/2016,09:00,29.49,29.50,29.43,29.44,11233912,8676628
10/25/2016,09:30,29.44,29.46,29.39,29.45,6983496,5776720
10/25/2016,10:00,29.45,29.46,29.36,29.38,4600336,5480200
10/25/2016,10:30,29.38,29.41,29.36,29.41,3933636,3252648
10/25/2016,11:00,29.41,29.43,29.35,29.36,3593320,4865936
10/25/2016,11:30,29.36,29.38,29.33,29.37,3597088,3744756
10/25/2016,12:00,29.37,29.43,29.35,29.41,4071960,3181492
10/25/2016,12:30,29.41,29.47,29.39,29.46,3610044,2792396
10/25/2016,13:00,29.46,29.50,29.45,29.49,4825284,4210320
10/25/2016,13:30,29.49,29.51,29.47,29.49,4167204,3889604
10/25/2016,14:00,29.49,29.50,29.44,29.45,3751068,3998068
10/25/2016,14:30,29.45,29.49,29.44,29.48,4568916,4162184
10/25/2016,15:00,29.49,29.59,29.48,29.57,12338276,11816124
10/26/2016,09:00,28.58,28.60,28.33,28.48,27367852,32263476
10/26/2016,09:30,28.48,28.58,28.40,28.52,14824332,15101992
10/26/2016,10:00,28.52,28.74,28.52,28.73,14683476,13629792
10/26/2016,10:30,28.73,28.81,28.70,28.73,9589608,8816096
10/26/2016,11:00,28.73,28.79,28.70,28.73,4881516,4739480
10/26/2016,11:30,28.73,28.83,28.72,28.81,4304144,3248408
10/26/2016,12:00,28.81,28.93,28.81,28.85,5713076,6056336
10/26/2016,12:30,28.85,28.87,28.75,28.77,3972688,4211268
10/26/2016,13:00,28.77,28.79,28.65,28.66,4754820,5350212
10/26/2016,13:30,28.66,28.75,28.66,28.73,4038288,3885468
10/26/2016,14:00,28.73,28.85,28.73,28.84,4568488,3857208
10/26/2016,14:30,28.83,28.84,28.77,28.81,3806364,4174156
10/26/2016,15:00,28.81,28.91,28.79,28.90,8015756,8192396
10/27/2016,09:00,28.80,28.97,28.75,28.86,7142500,9455932
10/27/2016,09:30,28.86,28.87,28.69,28.74,5541192,5614280
10/27/2016,10:00,28.74,28.77,28.70,28.75,3071028,3227892
10/27/2016,10:30,28.75,28.77,28.72,28.73,2478736,2558932
10/27/2016,11:00,28.73,28.81,28.69,28.79,3147952,2897740
10/27/2016,11:30,28.79,28.81,28.76,28.80,2392744,2484948
10/27/2016,12:00,28.80,28.81,28.73,28.75,1740328,2236112
10/27/2016,12:30,28.75,28.76,28.71,28.72,1843212,1900252
