"Date","Time","Open","High","Low","Close","Up","Down"
10/21/2016,09:00,16.87,16.88,16.73,16.85,935436,1933804
10/21/2016,09:30,16.86,16.91,16.82,16.88,717692,703012
10/21/2016,10:00,16.88,16.90,16.81,16.82,451120,456688
10/21/2016,10:30,16.82,16.83,16.77,16.77,375028,571400
10/21/2016,11:00,16.77,16.83,16.76,16.81,436984,462772
10/21/2016,11:30,16.81,16.83,16.78,16.79,309684,309660
10/21/2016,12:00,16.80,16.85,16.78,16.84,401592,385236
10/21/2016,12:30,16.84,16.85,16.81,16.84,357072,318708
10/21/2016,13:00,16.84,16.87,16.80,16.83,364476,386544
10/21/2016,13:30,16.83,16.87,16.80,16.86,509200,465156
10/21/2016,14:00,16.86,16.89,16.84,16.86,469660,419704
10/21/2016,14:30,16.86,16.89,16.85,16.89,549592,432152
10/21/2016,15:00,16.89,16.92,16.86,16.88,1603836,1446296
10/24/2016,09:00,17.00,17.38,17.00,17.33,2436528,1698012
10/24/2016,09:30,17.33,17.38,17.30,17.32,1135712,1049848
10/24/2016,10:00,17.32,17.41,17.30,17.41,963956,789212
10/24/2016,10:30,17.40,17.42,17.36,17.40,951044,741508
10/24/2016,11:00,17.40,17.44,17.40,17.41,663100,505260
10/24/2016,11:30,17.41,17.44,17.38,17.44,706168,572976
10/24/2016,12:00,17.44,17.48,17.43,17.46,664396,505532
10/24/2016,12:30,17.46,17.50,17.46,17.49,480056,408128
10/24/2016,13:00,17.49,17.51,17.45,17.48,1324408,958584
10/24/2016,13:30,17.49,17.57,17.48,17.55,1104212,740988
10/24/2016,14:00,17.56,17.62,17.55,17.62,1035976,789616
10/24/2016,14:30,17.62,17.67,17.61,17.67,1445820,1282400
10/24/2016,15:00,17.67,17.70,17.62,17.68,3172828,2611700
10/25/2016,09:00,17.65,17.83,17.56,17.81,3338040,2014372
10/25/2016,09:30,17.82,17.92,17.79,17.85,1939040,2012596
10/25/2016,10:00,17.85,17.91,17.78,17.82,1182428,1338916
10/25/2016,10:30,17.82,17.89,17.80,17.88,659472,729916
10/25/2016,11:00,17.88,17.99,17.86,17.99,1354616,1317812
10/25/2016,11:30,17.98,18.03,17.93,18.02,1079116,1046312
10/25/2016,12:00,18.02,18.08,17.98,18.04,1125060,1314440
10/25/2016,12:30,18.04,18.04,17.90,17.90,845064,1117092
10/25/2016,13:00,17.90,17.95,17.89,17.94,605532,646832
10/25/2016,13:30,17.94,17.98,17.92,17.96,705112,834728
10/25/2016,14:00,17.96,17.98,17.93,17.96,824484,824372
10/25/2016,14:30,17.95,17.97,17.92,17.92,925724,853060
10/25/2016,15:00,17.92,17.98,17.91,17.97,2429632,2431168
10/26/2016,09:00,17.82,17.99,17.80,17.87,1572476,2090152
10/26/2016,09:30,17.87,18.08,17.87,18.05,1333100,1216712
10/26/2016,10:00,18.05,18.21,18.03,18.15,1789268,1651376
10/26/2016,10:30,18.14,18.17,18.07,18.10,792088,1270596
10/26/2016,11:00,18.10,18.16,18.10,18.11,808236,594984
10/26/2016,11:30,18.11,18.21,18.09,18.18,862180,640304
10/26/2016,12:00,18.18,18.24,18.15,18.22,915828,858164
10/26/2016,12:30,18.22,18.24,18.18,18.20,681728,714396
10/26/2016,13:00,18.20,18.21,18.07,18.10,858436,976140
10/26/2016,13:30,18.10,18.12,18.02,18.05,955116,952744
10/26/2016,14:00,18.04,18.10,18.03,18.08,713172,564872
10/26/2016,14:30,18.08,18.10,18.05,18.06,784120,879684
10/26/2016,15:00,18.06,18.08,18.04,18.04,1637704,2154564
10/27/2016,09:00,18.18,18.21,18.05,18.16,1466248,1266980
10/27/2016,09:30,18.14,18.15,17.91,17.93,976588,1277900
10/27/2016,10:00,17.93,18.00,17.86,17.95,997096,893452
10/27/2016,10:30,17.95,17.96,17.88,17.88,641016,693356
10/27/2016,11:00,17.88,17.89,17.78,17.88,1327568,1221936
10/27/2016,11:30,17.88,17.89,17.71,17.75,862752,1185836
10/27/2016,12:00,17.75,17.76,17.62,17.63,963812,1239444
10/27/2016,12:30,17.64,17.72,17.63,17.72,506296,637192
10/27/2016,13:00,17.72,17.79,17.71,17.77,668632,571940
10/27/2016,13:30,17.77,17.86,17.77,17.82,765684,782512
10/27/2016,14:00,17.81,17.84,17.72,17.73,677528,824404
10/27/2016,14:30,17.73,17.75,17.60,17.62,1370228,1554796
10/27/2016,15:00,17.62,17.70,17.61,17.67,1808856,1958128
10/28/2016,09:00,17.76,17.96,17.67,17.75,1942584,2361956
10/28/2016,09:30,17.75,17.90,17.75,17.87,1025548,767352
10/28/2016,10:00,17.87,18.00,17.86,17.96,1080112,1055064
10/28/2016,10:30,17.97,18.00,17.93,17.96,698800,586208
10/28/2016,11:00,17.96,18.03,17.95,17.98,734076,675256
10/28/2016,11:30,17.98,17.99,17.93,17.96,503148,631824
10/28/2016,12:00,17.96,17.96,17.85,17.88,503736,611016
10/28/2016,12:30,17.88,17.90,17.70,17.79,846568,960072
10/28/2016,13:00,17.79,17.80,17.67,17.67,596700,744272
10/28/2016,13:30,17.68,17.74,17.62,17.71,1035132,949188
10/28/2016,14:00,17.71,17.77,17.68,17.74,640876,602388
10/28/2016,14:30,17.74,17.75,17.65,17.70,716492,773288
10/28/2016,15:00,17.70,17.70,17.61,17.64,1758420,1616456
10/31/2016,09:00,17.70,17.90,17.69,17.83,1219172,1522196
10/31/2016,09:30,17.83,17.85,17.75,17.78,1049652,979568
10/31/2016,10:00,17.78,17.78,17.69,17.73,791520,889592
10/31/2016,10:30,17.73,17.79,17.69,17.78,800012,451952
10/31/2016,11:00,17.79,17.83,17.77,17.80,629044,705432
10/31/2016,11:30,17.81,17.83,17.79,17.80,447360,489744
10/31/2016,12:00,17.80,17.84,17.79,17.80,427928,453992
10/31/2016,12:30,17.80,17.84,17.80,17.80,444856,426328
10/31/2016,13:00,17.80,17.87,17.79,17.86,887868,771468
10/31/2016,13:30,17.86,17.91,17.85,17.86,790592,768640
10/31/2016,14:00,17.86,17.87,17.83,17.86,528812,440400
10/31/2016,14:30,17.86,17.86,17.81,17.83,660968,761328
10/31/2016,15:00,17.83,17.83,17.79,17.79,1626168,1666836
11/01/2016,09:00,17.86,17.95,17.69,17.70,1316644,2156492
11/01/2016,09:30,17.70,17.78,17.58,17.59,1242184,1550816
11/01/2016,10:00,17.59,17.65,17.55,17.62,1330424,1142532
11/01/2016,10:30,17.61,17.66,17.58,17.63,1297400,1043612
11/01/2016,11:00,17.63,17.63,17.56,17.57,1277652,1156140
11/01/2016,11:30,17.57,17.58,17.40,17.42,1354508,1587572
11/01/2016,12:00,17.41,17.47,17.37,17.42,786300,805368
11/01/2016,12:30,17.42,17.44,17.29,17.31,680764,851804
11/01/2016,13:00,17.31,17.33,17.17,17.20,895612,1214064
11/01/2016,13:30,17.20,17.22,17.07,17.19,1257508,1466768
11/01/2016,14:00,17.19,17.23,17.13,17.13,1104320,1071588
11/01/2016,14:30,17.13,17.22,17.10,17.21,969304,965964
11/01/2016,15:00,17.21,17.28,17.21,17.26,2950924,2573248
11/02/2016,09:00,17.40,17.63,17.31,17.59,1708084,2069180
11/02/2016,09:30,17.59,17.62,17.39,17.44,822400,1023424
11/02/2016,10:00,17.44,17.48,17.35,17.40,991856,1059260
11/02/2016,10:30,17.40,17.41,17.33,17.39,754364,991224
11/02/2016,11:00,17.39,17.41,17.33,17.39,453092,695556
11/02/2016,11:30,17.39,17.41,17.30,17.32,532432,699248
11/02/2016,12:00,17.32,17.32,17.25,17.26,634080,702912
11/02/2016,12:30,17.26,17.26,17.17,17.21,1122376,896844
11/02/2016,13:00,17.21,17.26,17.19,17.23,700664,673668
11/02/2016,13:30,17.23,17.28,17.16,17.22,1055372,922580
11/02/2016,14:00,17.22,17.28,17.19,17.21,676464,664084
11/02/2016,14:30,17.21,17.27,17.19,17.25,874324,813180
11/02/2016,15:00,17.25,17.26,17.18,17.19,1463028,1519048
11/03/2016,09:00,17.27,17.29,16.72,16.74,2517496,2200444
11/03/2016,09:30,16.74,16.98,16.66,16.94,2359616,2134340
11/03/2016,10:00,16.94,16.98,16.86,16.95,1210860,1171636
11/03/2016,10:30,16.95,17.09,16.95,17.08,775896,997196
11/03/2016,11:00,17.08,17.16,17.08,17.10,592308,662180
11/03/2016,11:30,17.10,17.11,17.04,17.09,515408,552668
11/03/2016,12:00,17.09,17.11,17.05,17.05,562816,643932
11/03/2016,12:30,17.05,17.05,16.98,17.05,646116,607572
11/03/2016,13:00,17.05,17.05,16.96,16.97,571420,697504
11/03/2016,13:30,16.97,17.04,16.95,17.02,704736,616644
11/03/2016,14:00,17.02,17.10,17.01,17.09,660412,557472
11/03/2016,14:30,17.08,17.09,17.04,17.06,682300,668384
11/03/2016,15:00,17.06,17.07,16.96,16.99,1757088,2031900
11/04/2016,09:00,16.88,16.97,16.64,16.70,1306544,2331024
11/04/2016,09:30,16.69,16.86,16.69,16.83,1235060,987368
11/04/2016,10:00,16.83,16.95,16.82,16.93,1402756,1146144
11/04/2016,10:30,16.92,17.16,16.92,17.05,2635840,2198584
11/04/2016,11:00,17.05,17.07,16.96,17.05,780844,813400
11/04/2016,11:30,17.05,17.16,17.03,17.15,880260,842012
11/04/2016,12:00,17.15,17.18,17.13,17.15,737792,712960
11/04/2016,12:30,17.15,17.18,17.13,17.15,686180,628836
11/04/2016,13:00,17.15,17.16,17.03,17.05,538088,864128
11/04/2016,13:30,17.05,17.05,16.94,16.94,572700,618804
11/04/2016,14:00,16.94,16.94,16.88,16.92,726752,710128
11/04/2016,14:30,16.92,16.95,16.91,16.92,767372,644348
11/04/2016,15:00,16.92,16.92,16.87,16.89,1876152,1960304
11/07/2016,09:00,17.38,17.67,17.38,17.57,4861820,3393384
11/07/2016,09:30,17.57,17.68,17.56,17.63,1708340,1763080
11/07/2016,10:00,17.63,17.77,17.56,17.71,2511632,1564156
11/07/2016,10:30,17.71,17.77,17.70,17.76,1284128,1048716
11/07/2016,11:00,17.76,17.84,17.73,17.84,1399132,1129724
11/07/2016,11:30,17.84,17.93,17.82,17.93,1186308,938208
11/07/2016,12:00,17.93,17.93,17.79,17.81,836076,925596
11/07/2016,12:30,17.81,17.83,17.78,17.81,720372,612828
11/07/2016,13:00,17.81,17.87,17.77,17.83,898872,689596
11/07/2016,13:30,17.83,17.83,17.75,17.75,838732,907384
11/07/2016,14:00,17.75,17.75,17.67,17.70,896312,934480
11/07/2016,14:30,17.70,17.74,17.69,17.73,1122652,1283852
11/07/2016,15:00,17.73,17.83,17.73,17.82,3384020,2696816
11/08/2016,09:00,17.89,17.90,17.63,17.73,2525104,1859624
11/08/2016,09:30,17.72,17.78,17.66,17.67,935336,937324
11/08/2016,10:00,17.67,17.76,17.66,17.75,707688,730192
11/08/2016,10:30,17.75,17.78,17.72,17.74,957848,798536
11/08/2016,11:00,17.74,17.83,17.74,17.81,985692,1124700
11/08/2016,11:30,17.82,17.94,17.82,17.92,830692,760120
11/08/2016,12:00,17.92,17.94,17.90,17.92,775988,714100
11/08/2016,12:30,17.92,17.92,17.82,17.83,682460,575496
11/08/2016,13:00,17.83,17.87,17.81,17.84,746932,550212
11/08/2016,13:30,17.84,17.84,17.72,17.76,743008,743464
11/08/2016,14:00,17.76,17.76,17.68,17.71,897096,841624
11/08/2016,14:30,17.71,17.81,17.70,17.80,954720,729732
11/08/2016,15:00,17.81,17.84,17.78,17.79,1950724,2055672
11/09/2016,09:00,17.32,17.67,17.19,17.47,3893916,4907800
11/09/2016,09:30,17.47,17.54,17.20,17.35,2160656,2599584
11/09/2016,10:00,17.35,17.51,17.23,17.45,1628720,1690684
11/09/2016,10:30,17.45,17.60,17.41,17.59,1081524,898532
11/09/2016,11:00,17.60,17.73,17.53,17.68,1245560,2030940
11/09/2016,11:30,17.68,17.71,17.49,17.60,946168,1030368
11/09/2016,12:00,17.60,17.65,17.54,17.63,689576,522872
11/09/2016,12:30,17.63,17.65,17.41,17.43,819480,853944
11/09/2016,13:00,17.42,17.55,17.40,17.40,790652,828268
11/09/2016,13:30,17.40,17.50,17.39,17.49,686352,606504
11/09/2016,14:00,17.49,17.53,17.41,17.43,1007292,964500
11/09/2016,14:30,17.43,17.55,17.42,17.50,996756,937056
11/09/2016,15:00,17.50,17.50,17.43,17.49,2847396,2381436
11/10/2016,09:00,17.86,17.88,17.63,17.64,2708792,3471788
11/10/2016,09:30,17.64,17.70,17.27,17.28,2567476,3391856
11/10/2016,10:00,17.29,17.36,16.69,16.72,3644596,4434180
11/10/2016,10:30,16.71,17.11,16.71,17.00,2693136,2628760
11/10/2016,11:00,17.01,17.18,16.86,16.95,1646732,1627484
11/10/2016,11:30,16.95,17.03,16.91,16.92,1812696,1043060
11/10/2016,12:00,16.91,16.94,16.76,16.88,1577680,1781748
11/10/2016,12:30,16.89,16.97,16.81,16.91,1529220,1391312
11/10/2016,13:00,16.91,17.01,16.86,16.97,1569408,1383800
11/10/2016,13:30,16.96,17.05,16.93,17.00,1285240,1676436
11/10/2016,14:00,17.00,17.01,16.88,16.93,1602572,2216528
11/10/2016,14:30,16.93,16.97,16.91,16.94,1811440,2103556
11/10/2016,15:00,16.94,16.99,16.91,16.94,3929100,5138960
11/11/2016,09:00,19.89,20.80,19.63,20.69,23383272,23033440
11/11/2016,09:30,20.68,21.21,20.68,20.81,12276092,12760732
11/11/2016,10:00,20.79,21.19,20.73,21.09,7554348,6663568
11/11/2016,10:30,21.08,21.19,20.98,21.11,5643500,5402356
11/11/2016,11:00,21.11,21.25,21.01,21.20,4819660,4434124
